"2/25/2019","0:00:00","56"
"2/25/2019","0:02:30","98"
"2/25/2019","0:05:00","67"
"2/25/2019","0:07:30","54"
"2/25/2019","0:10:00","93"
"2/25/2019","0:12:30","89"
"2/25/2019","0:15:00","48"
"2/25/2019","0:17:30","9"
"2/25/2019","0:20:00","99"
"2/25/2019","0:22:30","6"
"2/25/2019","0:25:00","78"
"2/25/2019","0:27:30","72"
"2/25/2019","0:30:00","18"
"2/25/2019","0:32:30","93"
"2/25/2019","0:35:00","60"
"2/25/2019","0:37:30","95"
"2/25/2019","0:40:00","36"
"2/25/2019","0:42:30","82"
"2/25/2019","0:45:00","50"
"2/25/2019","0:47:30","6"
"2/25/2019","0:50:00","3"
"2/25/2019","0:52:30","95"
"2/25/2019","0:55:00","0"
"2/25/2019","0:57:30","59"
"2/25/2019","1:00:00","86"
"2/25/2019","1:02:30","70"
"2/25/2019","1:05:00","19"
"2/25/2019","1:07:30","98"
"2/25/2019","1:10:00","61"
"2/25/2019","1:12:30","37"
"2/25/2019","1:15:00","2"
"2/25/2019","1:17:30","54"
"2/25/2019","1:20:00","42"
"2/25/2019","1:22:30","92"
"2/25/2019","1:25:00","94"
"2/25/2019","1:27:30","55"
"2/25/2019","1:30:00","0"
"2/25/2019","1:32:30","4"
"2/25/2019","1:35:00","95"
"2/25/2019","1:37:30","5"
"2/25/2019","1:40:00","12"
"2/25/2019","1:42:30","11"
"2/25/2019","1:45:00","3"
"2/25/2019","1:47:30","52"
"2/25/2019","1:50:00","11"
"2/25/2019","1:52:30","16"
"2/25/2019","1:55:00","64"
"2/25/2019","1:57:30","97"
"2/25/2019","2:00:00","53"
"2/25/2019","2:02:30","66"
"2/25/2019","2:05:00","94"
"2/25/2019","2:07:30","36"
"2/25/2019","2:10:00","92"
"2/25/2019","2:12:30","94"
"2/25/2019","2:15:00","36"
"2/25/2019","2:17:30","60"
"2/25/2019","2:20:00","70"
"2/25/2019","2:22:30","20"
"2/25/2019","2:25:00","89"
"2/25/2019","2:27:30","80"
"2/25/2019","2:30:00","42"
"2/25/2019","2:32:30","58"
"2/25/2019","2:35:00","15"
"2/25/2019","2:37:30","95"
"2/25/2019","2:40:00","48"
"2/25/2019","2:42:30","45"
"2/25/2019","2:45:00","3"
"2/25/2019","2:47:30","74"
"2/25/2019","2:50:00","60"
"2/25/2019","2:52:30","39"
"2/25/2019","2:55:00","80"
"2/25/2019","2:57:30","1"
"2/25/2019","3:00:00","18"
"2/25/2019","3:02:30","76"
"2/25/2019","3:05:00","75"
"2/25/2019","3:07:30","2"
"2/25/2019","3:10:00","53"
"2/25/2019","3:12:30","79"
"2/25/2019","3:15:00","57"
"2/25/2019","3:17:30","100"
"2/25/2019","3:20:00","72"
"2/25/2019","3:22:30","31"
"2/25/2019","3:25:00","83"
"2/25/2019","3:27:30","91"
"2/25/2019","3:30:00","14"
"2/25/2019","3:32:30","30"
"2/25/2019","3:35:00","38"
"2/25/2019","3:37:30","19"
"2/25/2019","3:40:00","94"
"2/25/2019","3:42:30","59"
"2/25/2019","3:45:00","85"
"2/25/2019","3:47:30","9"
"2/25/2019","3:50:00","9"
"2/25/2019","3:52:30","60"
"2/25/2019","3:55:00","62"
"2/25/2019","3:57:30","48"
"2/25/2019","4:00:00","95"
"2/25/2019","4:02:30","62"
"2/25/2019","4:05:00","90"
"2/25/2019","4:07:30","57"
"2/25/2019","4:10:00","75"
"2/25/2019","4:12:30","83"
"2/25/2019","4:15:00","62"
"2/25/2019","4:17:30","64"
"2/25/2019","4:20:00","46"
"2/25/2019","4:22:30","32"
"2/25/2019","4:25:00","24"
"2/25/2019","4:27:30","23"
"2/25/2019","4:30:00","31"
"2/25/2019","4:32:30","83"
"2/25/2019","4:35:00","100"
"2/25/2019","4:37:30","3"
"2/25/2019","4:40:00","37"
"2/25/2019","4:42:30","19"
"2/25/2019","4:45:00","94"
"2/25/2019","4:47:30","59"
"2/25/2019","4:50:00","94"
"2/25/2019","4:52:30","71"
"2/25/2019","4:55:00","28"
"2/25/2019","4:57:30","60"
"2/25/2019","5:00:00","20"
"2/25/2019","5:02:30","5"
"2/25/2019","5:05:00","37"
"2/25/2019","5:07:30","30"
"2/25/2019","5:10:00","71"
"2/25/2019","5:12:30","66"
"2/25/2019","5:15:00","83"
"2/25/2019","5:17:30","34"
"2/25/2019","5:20:00","87"
"2/25/2019","5:22:30","58"
"2/25/2019","5:25:00","67"
"2/25/2019","5:27:30","12"
"2/25/2019","5:30:00","12"
"2/25/2019","5:32:30","41"
"2/25/2019","5:35:00","62"
"2/25/2019","5:37:30","1"
"2/25/2019","5:40:00","24"
"2/25/2019","5:42:30","53"
"2/25/2019","5:45:00","80"
"2/25/2019","5:47:30","40"
"2/25/2019","5:50:00","87"
"2/25/2019","5:52:30","94"
"2/25/2019","5:55:00","46"
"2/25/2019","5:57:30","98"
"2/25/2019","6:00:00","89"
"2/25/2019","6:02:30","60"
"2/25/2019","6:05:00","50"
"2/25/2019","6:07:30","49"
"2/25/2019","6:10:00","5"
"2/25/2019","6:12:30","24"
"2/25/2019","6:15:00","5"
"2/25/2019","6:17:30","60"
"2/25/2019","6:20:00","6"
"2/25/2019","6:22:30","47"
"2/25/2019","6:25:00","68"
"2/25/2019","6:27:30","65"
"2/25/2019","6:30:00","75"
"2/25/2019","6:32:30","72"
"2/25/2019","6:35:00","0"
